sku,width,height,depth,keyword,match_confidence,notes,supplier_sources
DG B30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG B33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG B36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG B39,39,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG B42,42,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG BASEMOLDING,96,4.375,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG BDD24,24,30,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG BES09,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG BF3,3,34.5,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG BF6,6,34.5,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG BMC30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG BWBKT18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG CCM8,96,3,4.5,CROWN,85%,1 supplier confirms W+H+D+keyword,DL
DG CL156012,15,60,12,CLOSET,80%,"DL prefix stripped, product pattern matched: CLOSET",DL
DG CORBEL 8X12,3,12,8,CORBEL,80%,"DL prefix stripped, product pattern matched: CORBEL",DL
DG DB12,12,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DB15,15,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DB18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DB21,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DB24,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DB27,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DB30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DB33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DB36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG DLS 4X4X36,4,34.5,4,DECORATIVE_LEG,80%,"DL prefix stripped, product pattern matched: DECORATIVE_LEG",DL
DG DSK2421,24,7.5,21,DESK,80%,"DL prefix stripped, product pattern matched: DESK",DL
DG DSK3021,30,7.5,21,DESK,80%,"DL prefix stripped, product pattern matched: DESK",DL
DG DWP3,3,34.5,24,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DG FDB09,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG FDB18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG FDB21,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG FDB24,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG FDB27,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG FDB30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG FDB33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG FDB36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG FILLER 3X96,3,96,0.75,FILLER,85%,1 supplier confirms W+H+D+keyword,DL
DG FILLER 6X96,6,96,0.75,FILLER,85%,1 supplier confirms W+H+D+keyword,DL
DG FLAT PANEL 27X96,0.75,96,27,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DG FSB36,36,34.5,24,FARMHOUSE_SINK_BASE,80%,human-confirmed: farmhouse sink base,DL
DG GH30,30,4,12,GLASS_HOLDER,80%,human-confirmed: glass holder (DL prefix DG stripped),DL
DG ICM8,96,0.5,0.5,CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DG LZS33,33,34.5,24,LAZY_SUSAN,85%,1 supplier confirms W+H+D+keyword,DL
DG LZS3612,36,34.5,24,LAZY_SUSAN,85%,1 supplier confirms W+H+D+keyword,DL
DG OVD338427,33,84,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG OVD339027,33,90,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG OVD339627,33,96,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG PAINT,,,,PAINT,80%,human-confirmed: paint (aerosol can),DL
DG RH36,36,36,24,RANGE_HOOD,85%,1 supplier confirms W+H+D+keyword,DL
DG RRP27(1.5),1.5,96,,REFRIGERATOR,55%,W only confirmed,DL
DG SAMPLE DOOR,15,12,0.75,SAMPLE_DOOR,85%,1 supplier confirms W+H+D+keyword,DL
DG SB30,30,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG SB36,36,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG SCRIBEMOLDING,96,0.75,0.25,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
DG SHOEMOLDING,96,0.75,0.75,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
DG SIDE PANEL 36X96,0.5,96,36,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DG SKIN PANEL 36X96,96,36,0.125,SKIN_PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DG SP09,09,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG SP2436,24,36,0.5,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DG TK8,96,4.5,0.375,TOE_KICK,85%,1 supplier confirms W+H+D+keyword,DL
DG TLR8,96,1.5,2.3125,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
DG TOUCHUP KIT,,,,TOUCHUP_KIT,80%,human-confirmed: touch-up kit,DL
DG VAN24,24,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG VAN30,30,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG VAN36DL,36,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG VAN36DR,36,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG VDB12,12,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG VDB15,15,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG VDB18,18,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG VDB24,24,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG VSB36,36,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DG W0930,09,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W0936,09,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W0942,09,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1218,12,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1230,12,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1236,12,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1242,12,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1518,15,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1530,15,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1536,15,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1542,15,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1818,18,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1830,18,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1836,18,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W1842,18,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2118,21,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2130,21,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2136,21,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2142,21,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2412,24,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2415,24,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2418,24,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2424,24,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2430,24,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2436,24,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2442,24,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2718,27,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2730,27,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2736,27,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W2742,27,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3012,30,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3015,30,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3018,30,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3024,30,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3030,30,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3036,30,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3042,30,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3312,33,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3315,33,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3318,33,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3324,33,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3330,33,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3336,33,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3342,33,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3612,36,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W361227,36,12,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3615,36,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W361527,36,15,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3618,36,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W361827,36,18,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3624,36,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W362427,36,24,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3630,36,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3636,36,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG W3642,36,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WBC2730,27,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WBC2736,27,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WBC2742,27,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WDC241812,24,18,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DG WDC243012,24,30,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DG WDC243612,24,36,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DG WDC244212,24,42,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DG WDCG243012,24,30,,WALL_DIAGONAL_CORNER,55%,W only confirmed,DL
DG WDCG243612,24,36,0.75,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DG WDCG244212,24,42,0.75,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DG WDD30,12,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WDD36,12,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WDD42,12,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WEOS0930,9,30,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
DG WEOS0936,9,36,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
DG WEOS0942,9,42,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
DG WF3 30,3,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WF3 36,3,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WF3 42,3,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WF6 42,6,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1230,12,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1236,12,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1242,12,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1530,15,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1536,15,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1542,15,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1830,18,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1836,18,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WG1842,18,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DG WMC3018,30,18,12,WALL_MICROWAVE,85%,1 supplier confirms W+H+D+keyword,DL
DG WP188427,18,84,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WP189027,18,90,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WP189627,18,96,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WP248427,24,84,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WP249027,24,90,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WP249627,24,96,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WP308427,30,84,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WP309027,30,90,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WP309627,30,96,27,TALL_PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DG WRC3018,30,18,12,WALL_WINE_RACK,85%,1 supplier confirms W+H+D+keyword,DL
DINA 24'/30'/36',,,,DOOR_LINE,80%,batch-pattern: pattern: door line name/sample,CABINET_STONE
DISHWASHERPANEL,,,,DISHWASHER_END_PANEL,50%,"canonical keyword, no supplier confirmation",
DLS,,,,DECORATIVE_LEG,80%,human-confirmed: decorative leg,
DMTIS,96,0.6875,0.375,MOULDING,85%,1 supplier confirms W+H+D+keyword,LOVE_MILESTONE
DSK2421,,,,DESK,80%,batch-pattern: pattern: DSK desk,
DSK3021,,,,DESK,80%,batch-pattern: pattern: DSK desk,
DSM8,3,34.5,,PANEL,50%,"canonical keyword, no supplier confirmation",
DW 2DB30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW 2DB33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW 2DB36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW ACM2.5,96,2.5,3.5,CROWN,85%,1 supplier confirms W+H+D+keyword,DL
DW ANGLEMOLDING,96,0.75,0.75,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
DW B12,12,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B15,15,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B21,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B24,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B27,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B39,39,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW B42,42,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW BASEMOLDING,96,4.375,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW BDD24,24,30,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW BES09,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW BF3,3,34.5,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW BF6,6,34.5,0.75,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW BMC30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW BWBKT18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW CCM8,96,3,4.5,CROWN,85%,1 supplier confirms W+H+D+keyword,DL
DW CL156012,15,60,12,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW CORBEL 8X12,3,12,8,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW DB12,12,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DB15,15,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DB18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DB21,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DB24,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DB27,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DB30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DB33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DB36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW DLS 4X4X36,4,34.5,4,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW DSK2421,24,7.5,21,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW DSK3021,30,7.5,21,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW DWP3,3,34.5,24,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DW FDB09,9,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW FDB18,18,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW FDB21,21,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW FDB24,24,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW FDB27,27,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW FDB30,30,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW FDB33,33,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW FDB36,36,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW FILLER 3X96,3,96,0.75,FILLER,85%,1 supplier confirms W+H+D+keyword,DL
DW FILLER 6X96,6,96,0.75,FILLER,85%,1 supplier confirms W+H+D+keyword,DL
DW FLAT PANEL 27X96,0.75,96,27,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DW FSB36,36,34.5,24,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW GH30,30,4,12,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW LZS33,33,34.5,24,LAZY_SUSAN,85%,1 supplier confirms W+H+D+keyword,DL
DW LZS3612,36,34.5,24,LAZY_SUSAN,85%,1 supplier confirms W+H+D+keyword,DL
DW OVD338427,33,84,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DW OVD339027,33,90,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DW OVD339627,33,96,27,PANTRY,85%,1 supplier confirms W+H+D+keyword,DL
DW PAINT,,,,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW RH36,36,36,24,RANGE_HOOD,85%,1 supplier confirms W+H+D+keyword,DL
DW RRP27(1.5),1.5,96,,REFRIGERATOR,55%,W only confirmed,DL
DW SAMPLE DOOR,15,12,0.75,SAMPLE_DOOR,85%,1 supplier confirms W+H+D+keyword,DL
DW SB30,30,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW SB36,36,34.5,24,SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW SCRIBEMOLDING,96,0.75,0.25,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
DW SHOEMOLDING,96,0.75,0.75,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
DW SIDE PANEL 36X96,0.5,96,36,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DW SKIN PANEL 36X96,96,36,0.25,SKIN_PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DW SP09,09,34.5,24,BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW SP2436,24,36,0.5,PANEL,85%,1 supplier confirms W+H+D+keyword,DL
DW TK8,96,4.5,0.375,TOE_KICK,85%,1 supplier confirms W+H+D+keyword,DL
DW TLR8,96,1.5,2.3125,MOLDING,85%,1 supplier confirms W+H+D+keyword,DL
DW TOUCHUP KIT,,,,DISHWASHER_PANEL,80%,human-confirmed: dishwasher panel,DL
DW VAN24,24,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW VAN30,30,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW VAN36DL,36,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW VAN36DR,36,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW VDB12,12,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW VDB15,15,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW VDB18,18,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW VDB24,24,34.5,21,VANITY_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW VSB36,36,34.5,21,VANITY_SINK_BASE,85%,1 supplier confirms W+H+D+keyword,DL
DW W0930,09,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W0936,09,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W0942,09,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1218,12,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1230,12,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1236,12,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1242,12,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1530,15,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1536,15,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1542,15,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1830,18,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1836,18,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W1842,18,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2130,21,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2136,21,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2142,21,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2430,24,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2436,24,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2442,24,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2730,27,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2736,27,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W2742,27,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3012,30,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3015,30,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3018,30,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3024,30,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3030,30,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3036,30,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3042,30,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3330,33,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3336,33,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3342,33,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3612,36,12,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W361227,36,12,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3615,36,15,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W361527,36,15,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3618,36,18,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W361827,36,18,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3624,36,24,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W362427,36,24,27,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3630,36,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3636,36,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW W3642,36,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WBC2730,27,30,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WBC2736,27,36,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WBC2742,27,42,12,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WDC243012,24,30,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DW WDC243612,24,36,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DW WDC244212,24,42,12,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DW WDCG243012,24,30,,WALL_DIAGONAL_CORNER,55%,W only confirmed,DL
DW WDCG243612,24,36,0.75,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DW WDCG244212,24,42,0.75,WALL_DIAGONAL_CORNER,85%,1 supplier confirms W+H+D+keyword,DL
DW WDD30,12,30,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WDD36,12,36,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WDD42,12,42,0.75,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WEOS0930,9,30,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
DW WEOS0936,9,36,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
DW WEOS0942,9,42,12,WALL_END,85%,1 supplier confirms W+H+D+keyword,DL
DW WF3 30,3,30,0.375,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WF3 36,3,36,0.375,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WF3 42,3,42,0.375,WALL,85%,1 supplier confirms W+H+D+keyword,DL
DW WF6 42,6,42,0.375,WALL,85%,1 supplier confirms W+H+D+keyword,DL
